"cell_line","IC50","AAC","ENSG00000198793","ENSG00000138685","ENSG00000088832"
"NCI-H2369",166.512628945052,0.0378596278155465,4.99333937134735,9.53234569107044,3.18696021189787
"NCI-H2373",9.58851856737354,0.14445797281331,3.9563795032274,8.17210841742656,3.59195808032548
"NCI-H2452",6.10403261987459,0.100757726377424,5.0057631988179,6.71794660905408,3.03460838744968
"NCI-H2461",26.2717792468288,0.0937780606079053,4.45185114328001,8.09318143822625,3.54292934321786
"NCI-H2731",18.7869058213784,0.00279473194563053,5.01578136600428,6.44457291926653,3.16687766404527
"NCI-H2795",436.592649313895,0.102165346270886,4.02285771621381,5.66547953900521,2.76073047789639
"NCI-H28",1.83611298674864,0.215602774810063,4.27329307093763,6.50972947561852,4.66692111363511
"NCI-H2803",13.1188047294774,0.0105284223222661,4.37142808628761,5.08946332397215,2.78355448118839
"NCI-H2818",0.280123787180198,0.224410542653896,4.13250148635173,8.4110762144387,3.3135357370928
"NCI-H322M",0.461152510051648,0.4196019824655,5.28097370300781,3.45933914445911,2.87281406186607
"NCI-H513",14.0909218002642,0.00818210949049697,4.48548391061205,3.23933701500678,3.33486036226337
"NCI-H524",2.65620610476733,0.179151584945287,5.13323730583681,3.53074309277032,3.94129469531247
"NCI-H650",0.0194699173135325,0.824516693376341,5.29272523978715,4.33755454024646,3.96346876501284
"NCI-H661",15.442580610914,0.070491214202076,5.14429716493167,6.9597711622838,3.71735675716204
"NCI-H727",24249.1256100082,0.109672691188193,5.20708842694401,3.04528689071864,3.46110406050971
"NCI-H747",14.1803184848213,0.111946265648303,4.32853751784399,3.08366016319977,3.16545343335394
"NCI-H835",0.015055021089312,0.380844971989054,5.23112575576189,3.83564263661143,3.24588606802883
"NCI-H841",14.5332538815181,0.266847294998427,5.24052273097071,5.04373729081278,3.84942376621282
"NCI-H847",24.5299599021795,0.0390281626367653,5.37803901679331,3.72578330959562,3.62017517689734
"OC-314",1.56551357707336,0.216056984850939,5.00359832528856,5.52855941378164,4.12265850122084
"OCI-M1",0.175926428481831,0.431408704539757,4.94812271427818,3.23587133333075,3.34473300839982
"OCUM-1",4.71860158942314,0.188317586030817,4.44396810062788,3.42924878401364,3.31992439960852
"OE33",0.0167987204433741,0.0284523409525046,4.38432414387505,3.24006610630121,4.06107568952235
"OPM-2",2.77648958480818,0.418948617019158,5.13530873109414,3.21093403938547,4.53472588221216
"OS-RC-2",6.11358293142742,0.229086734438319,4.43090474587287,6.00023479238275,3.65890677359495
"OSC-20",12.9417560985989,0.0110351157399236,4.93920363842419,4.89335496767655,3.63931351002084
"OV-90",11.8779969455864,0.0147326287953543,4.76730016300555,3.22307731553983,5.11756879938644
"OVCA420",0.446777513701468,0.353879129509575,4.66249439690975,3.10456471565089,2.52101158765859
"OVCAR-8",4.29318173861471,0.238315509983066,4.61279397089517,7.03529405421779,3.49029002238573
"OVISE",7.96675761107095,0.0816017929690054,5.38532316362639,5.45395523605353,3.37208010395162
"OVKATE",30.1638252837231,0.147600107185628,4.49912830813434,5.26848010436542,3.31075358589311
"OVTOKO",6.32497394209889,0.214280143358796,4.60906885730645,7.70053510307146,3.58808734262238
"P31-FUJ",231.286775439345,0.0250737413920017,4.875201130449,3.34454495584642,3.59284190262398
"P32-ISH",0.786088515723907,0.334752390970495,5.57077338639919,3.33323853660982,4.68406136598516
"PA-1",1.14145594666199,0.337048846628542,4.95298382761145,7.26848010881785,4.91036747311917
"PC-14",35.8841154598277,0.269313205529343,4.58328720942134,3.20391638459015,4.76079823732392
"PC-3",16.490236977195,0.0992102210471276,4.77586659812823,3.10091370756911,3.39490472209097
"PSN1",4.6959750661443,0.121568570600146,4.56331114703848,3.56131341618778,4.28623032280242
"PWR-1E",0.00971941162648333,0.892171062660904,4.90995330540966,5.61208637650411,3.55900179868423
"Raji",5.42564651302733,0.0744151216142403,5.42312152098196,3.47323198427388,4.24692776909735
"Ramos-2G6-4C10",3.73256788210396,0.140348228142695,5.406027798841,3.32000843374933,3.3268285812956
"RERF-LC-Sq1",0.150002663266133,0.567407700426129,4.70073822794148,4.29043621369879,3.82601053905196
"RF-48",1.55338883900845,0.258779001665275,4.8519130949377,4.14866185323941,3.69769414368291
"RKN",0.0283994894306754,0.474736656604633,4.96930067866145,4.3673383404117,3.6015149721844
"RMG-I",23.7845767524165,0.0622886929311943,7.92396748273719,3.58466359049942,3.94719293227875
"RPMI-6666",1.3517152330235,0.339032274015664,4.71771222287334,4.89747614737327,4.0323980666181
"RPMI-7951",14.5733916781641,0.00724747593905237,5.23171885110247,5.44182888330214,4.18966736195942
"RPMI-8226",2.35166333974947,0.200691270879269,5.53700137946179,3.26939662223194,3.96074090055365
"RS4-11",1.84086626579535,0.230779473377866,5.26353064133519,3.17630985586436,3.80231953505633
"RT-112",12577.8712784135,0.0995637760523258,4.68700082642431,3.22158823229894,4.35869515963696
"SBC-5",1.02358312091466e-06,0.955488631201064,5.83652518014284,5.07962892644137,4.76373025424208
"SF268",9.36582875471774,0.030140246901334,5.16781064362486,7.09703149684944,4.0673417216848
